,0
0,1358331
1,1344551
2,314969
3,728083
4,1433541
5,1310658
6,1483503
7,1540235
8,1053054
9,1390777
10,1358828
11,1022314
12,1523847
13,1067532
14,1547007
15,1132668
16,1277403
17,1630365
18,1317267
19,1105876
20,1502287
21,1353315
22,1514133
23,1665589
24,1483259
25,936936
26,316011
27,1463559
28,1569141
29,924223
30,1484043
31,1004244
32,1542952
33,1086137
34,814375
35,1550599
36,1512444
37,1633869
38,1089755
39,1409427
40,1549449
41,1579254
42,1103887
43,1056466
44,1534380
45,878313
46,1278430
47,1666789
48,854157
49,356264
50,949743
51,1513126
52,1317103
53,1444874
54,1541496
55,1411784
56,1398739
57,1484153
58,923093
59,911270
60,1536114
61,1055290
62,1573575
63,1466697
64,1584801
65,1599405
66,1308757
67,1281082
68,1581594
69,1351351
70,866995
71,1536924
72,1376772
73,1093694
74,1600026
75,1510099
76,1512716
77,1660389
78,1599579
79,1496637
80,1066816
81,1157436
82,1580144
83,96223
84,1475896
85,1436081
86,1310929
87,1009003
88,1621872
89,1455452
90,1404827
91,1633693
92,1299434
93,1079935
94,1222765
95,9634
96,1666868
97,1345576
98,1171592
99,1537558
100,1039565
101,1510769
102,1568887
103,1362948
104,1598898
105,1119376
106,1559968
107,1036325
108,1599469
109,884414
110,1568621
111,1313559
112,1304762
113,1283072
114,1296434
115,1074273
116,1637246
117,1578684
118,1272164
119,872163
120,1631084
121,1510989
122,1242972
123,1167557
124,1122241
125,1010232
126,1483969
127,1541897
128,1529389
129,819535
130,1666860
131,1455251
132,1012622
133,1088731
134,1511857
135,1459707
136,1456257
137,1596452
138,1541448
139,1055282
140,1589570
141,1640023
142,1002152
143,1426790
144,1483276
145,1569395
146,1301540
147,1056821
148,1086483
149,1508053
150,1568680
151,1631054
152,1361181
153,1323276
154,1314273
155,1078658
156,1452208
157,1566691
158,1218583
159,1089877
160,1134152
161,1518934
162,1216800
163,1576762
164,1326196
165,1535865
166,1289851
167,1634140
168,928749
169,1632105
170,1166850
171,1272544
172,1542161
173,1352512
174,1599633
175,1434845
176,1482012
177,1542166
178,1633676
179,1657111
180,1596906
181,1576151
182,1660086
183,1426327
184,1037558
185,1279396
186,1568389
187,1659997
188,1326537
189,1512135
190,1420299
191,1124841
192,1388409
193,895421
194,350894
195,1286478
196,1590346
197,1388076
198,1510940
199,1313792
200,1134621
201,1512805
202,1636974
203,898202
204,1395055
205,1505961
206,712011
207,1616026
208,884535
209,1218663
210,926834
211,717538
212,1566113
213,1263048
214,1318601
215,911274
216,849854
217,1535315
218,1009076
219,1557513
220,1132897
221,1524408
222,1389957
223,1014894
224,1277779
225,1161825
226,1574947
227,1080389
228,1357975
229,1457833
230,1661536
231,1080374
232,1663900
233,1080381
234,1493215
235,1440771
236,1595855
237,1504744
238,1015083
239,1475271
240,1532292
241,1053906
242,1159363
243,1357544
244,773840
245,35442
246,1144492
247,1230239
248,1614200
249,1462245
250,1055980
251,1085936
252,1586560
253,1017115
254,1423442
255,1544341
256,1177206
257,1351950
258,1097218
259,1577001
260,1166134
261,1006435
262,1603465
263,1491126
264,1595932
265,1368616
266,1629649
267,1215208
268,1520354
269,1536244
270,1280965
271,1462020
272,1632098
273,1428242
274,1260945
275,1080197
276,1598203
277,1585828
278,1598340
279,1055951
280,1534017
281,1143261
282,1518999
283,1566030
284,1456228
285,1290162
286,1542550
287,1666572
288,1442056
289,1321711
290,1542927
291,1310052
292,764038
293,1426196
294,1559495
295,1197853
296,1461564
297,1576053
298,1305707
299,1453620
300,1622852
301,1535764
302,1653253
303,1048462
304,1139986
305,1456510
306,1486066
307,1352342
308,1131667
309,808722
310,1114039
311,1646343
312,1599584
313,1120079
314,98758
315,1549408
316,19481
317,873687
318,1473429
319,1601622
320,1664385
321,1593410
322,1364739
323,1548882
324,1388167
325,1209324
326,1388551
327,1521019
328,1598244
329,862853
330,1421097
331,1080171
332,1567443
333,1483801
334,922439
335,1591590
336,1633448
337,750641
338,1546790
339,1569650
340,1662807
341,1378410
342,1665633
343,1559972
344,934866
345,1456511
346,1315889
347,1376113
348,1106832
349,1010911
350,1418204
351,1512978
352,1074027
353,1573913
354,1169883
355,1634083
356,1387399
357,1591663
358,1365167
359,1387508
360,1482611
361,1638901
362,1589943
363,1616024
364,1137521
365,51964
366,1568939
367,1026710
368,900169
369,1456075
370,1028074
371,1354739
372,1424322
373,1512404
374,1545065
375,948669
376,1667082
377,1540569
378,894309
379,1132556
380,1512367
381,1092290
382,1502631
383,1008322
384,1600085
385,915191
386,873630
387,1632966
388,1025835
389,1531987
390,898399
391,1280493
392,1399248
393,1549042
394,1103882
395,1648946
396,1556921
397,1396835
398,1434641
399,1419027
400,1269978
401,1452929
402,1560009
403,1353254
404,1056807
405,44365
406,1135778
407,721204
408,1569067
409,1134119
410,1578964
411,1609098
412,1648901
413,1567912
414,1166308
415,1101250
416,1573485
417,1586444
418,1357372
419,71259
420,1125243
421,1393369
422,1443095
423,1165248
424,1065350
425,1352306
426,1407382
427,1128452
428,1666580
429,1587192
430,1632549
431,1633227
432,1085825
433,1600011
434,1116247
435,1079930
436,1662449
437,1230869
438,1078635
439,1405844
440,1592579
441,1595880
442,1089911
443,1079398
444,1166402
445,1108893
446,1427351
447,1534261
448,1105909
449,1388312
450,1444043
451,894300
452,1618872
453,728014
454,1048445
455,1439743
456,1263532
457,1121943
458,1571222
459,1114928
460,1056504
461,1489178
462,1633625
463,1423876
464,1313360
465,860580
466,938077
467,1082917
468,1569884
469,1653169
470,1518320
471,1349434
472,938775
473,1607355
474,1593324
475,1559832
476,1535293
477,1483628
478,1600581
479,903064
480,1560808
481,1399770
482,1510677
483,1215838
484,1616628
485,1359894
486,945625
487,1555496
488,1454308
489,1063761
490,1483232
491,1512914
492,1016287
493,1407543
494,1140436
495,1569356
496,1483864
497,1631543
498,1632283
499,1599084
500,1397076
501,921531
502,1286534
503,1313926
504,1613331
505,1427261
506,1098490
507,1569853
508,1072843
509,763212
510,1482010
511,1569071
512,767684
513,1266227
514,1607863
515,1357955
516,1590721
517,1033974
518,1453072
519,1565432
520,862469
521,1119191
522,1495741
523,774602
524,1448574
525,1134628
526,1061304
527,1620916
528,945631
529,1161722
530,1418359
531,1313871
532,1332342
533,1121330
534,1656666
535,1009215
536,1078841
537,1383838
538,1558858
539,1315059
540,1476329
541,1253840
542,1468686
543,1317588
544,1511826
545,314965
546,894205
547,811454
548,1466715
549,1540826
550,1486180
551,351173
552,1470261
553,1664017
554,1275880
555,936939
556,1547494
557,1123803
558,1014736
559,1067324
560,1012091
561,1104366
562,1488207
563,1569639
564,1310051
565,1086416
566,1429895
567,1635523
568,1541666
569,1389544
570,1278387
571,1418427
572,1554913
573,1555433
574,1512370
575,1503269
576,1408700
577,1466153
578,1476417
579,1426665
580,1535249
581,1513211
582,1588959
583,314986
584,1601348
585,1295044
586,1511847
587,1441646
588,1501577
589,1483060
590,1559789
591,1494179
592,1526201
593,1279926
594,1534469
595,1455253
596,1568235
597,1325447
598,1314588
599,1482688
600,1434981
601,902219
602,1218254
603,1389082
604,932859
605,1068840
606,1472850
607,1364412
608,1564702
609,1374588
610,740272
611,861177
612,1535578
613,1325256
614,1598806
615,1218710
616,65957
617,1549275
618,1350585
619,1555170
620,1017645
621,1388443
622,1577920
623,1579853
624,1568289
625,1615135
626,1564579
627,1535472
628,1351407
629,1589282
630,1367787
631,1599886
632,1326918
633,1583000
634,1317583
635,1381859
636,1528147
637,773411
638,909151
639,1318055
640,1591442
641,1592613
642,1479465
643,1362033
644,1399348
645,1300311
646,1544744
647,1541625
648,1569452
649,1628110
650,1606810
651,1548577
652,315189
653,84616
654,1326533
655,1279030
656,1504304
657,1536262
658,1080114
659,1458425
660,1603464
661,1409888
662,1535660
663,922127
664,1350312
665,1531741
666,1634553
667,1019231
668,1009198
669,869878
670,1665302
671,1546283
672,1166340
673,1455838
674,1576953
675,1511901
676,1419186
677,1316580
678,1059543
679,924181
680,1140753
681,1055963
682,1654913
683,1519319
684,1569173
685,1633901
686,1080201
687,1422023
688,1211028
689,1557543
690,924166
691,1512566
692,70858
693,1555909
694,1641643
695,1531879
696,1525212
697,943442
698,1014315
699,1384042
700,1664772
701,1663138
702,1455969
703,1428569
704,1591377
705,1506294
706,1279708
707,1568717
708,1300336
709,1657660
710,1541349
711,1053136
712,1632118
713,1330325
714,1314150
715,1279885
716,1509550
717,1050463
718,1496201
719,1015308
720,1427748
721,825161
722,1121779
723,1423080
724,1423065
725,1102578
726,1314404
727,1352107
728,1274981
729,754811
730,1120926
731,1631052
732,1104186
733,1600175
734,1570296
735,1652253
736,1167376
737,1644187
738,1482935
739,1384943
740,1145020
741,1484150
742,1599762
743,1165501
744,1399518
745,1091561
746,1349352
747,1575677
748,1534259
749,911088
750,1649337
751,1080117
752,1350694
753,1315765
754,1616654
755,1646821
756,1661163
757,1510387
758,1598611
759,1516450
760,1655006
761,1346543
762,1135307
763,1584728
764,1429074
765,1542108
766,1662212
767,1070134
768,1388814
769,1649647
770,1562668
771,1595077
772,1020455
773,1423673
774,1554972
775,1630629
776,1512607
777,1079736
778,1315868
779,315014
780,1541055
781,1599868
782,1664713
783,1021258
784,1569537
785,1665979
786,1599852
787,1597089
788,806250
789,1599637
790,1568049
791,1666370
792,778925
793,1640638
794,1269932
795,1619495
796,1582635
797,1093589
798,1600025
799,1641652
800,1605913
801,1386088
802,1633055
803,1051359
804,1106500
805,1583825
806,1595849
807,1630409
808,1080071
809,1556218
810,949012
811,1269786
812,1569785
813,1592162
814,1097362
815,869179
816,1650162
817,1476380
818,1160099
819,1080173
820,1462284
821,89014
822,1218761
823,900529
824,1512538
825,1082020
826,1387304
827,1613715
828,1616664
829,913414
830,1445065
831,1633695
832,1593051
833,1377817
834,1418329
835,1164688
836,1549641
837,1353098
838,1483866
839,1594197
840,1667109
841,794221
842,1047142
843,1056527
844,1580830
845,1616667
846,1586986
847,1129919
848,1106565
849,1308523
850,1315269
851,1557689
852,1591505
853,1029311
854,860862
855,1532262
856,1003283
857,1486713
858,1103646
859,1533950
860,1349654
861,1666738
862,1321300
863,1388788
864,1277537
865,1640095
866,1535784
867,1213310
868,932974
869,850529
870,806246
871,1595852
872,1575129
873,1571089
874,1360533
875,1632096
876,836372
877,898286
878,928196
879,1544676
880,1558481
881,1525362
882,1608062
883,1067926
884,1596882
885,1009027
886,1616584
887,1378946
888,1439289
889,1086131
890,1167167
891,1546408
892,1427514
893,1276525
894,1374170
895,1599425
896,1128251
897,1138060
898,1661462
899,1323255
900,1135730
901,1112289
902,1622431
903,1085227
904,1236615
905,919497
906,1631208
907,1527913
908,1654198
909,1257391
910,1058022
911,1416692
912,1034184
913,1455288
914,889232
915,1512857
916,1387672
917,1140771
918,1050470
919,1324279
920,1279150
921,1134687
922,1270341
923,1455952
924,1607866
925,1599747
926,1511506
927,1482416
928,1568839
929,1316926
930,1508195
931,1507683
932,1533457
933,1389574
934,1603142
935,1279097
936,1164478
937,1643792
938,1033324
939,1277050
940,1491719
941,1642160
942,1483260
943,1567163
944,1634155
945,1596461
946,1318259
947,1340459
948,1506073
949,1322924
950,1142941
951,1082621
952,1653866
953,1085635
954,1484047
955,1654586
956,1123778
957,1393389
958,1599955
959,1651960
960,1008877
961,1629680
962,1179392
963,1389212
964,1570251
965,1548468
966,1501902
967,1087912
968,944361
969,1591379
970,1214183
971,1631014
972,813933
973,1172799
974,1409661
975,1021249
976,1569174
977,1569667
978,1162781
979,1453381
980,1362890
981,1609674
982,1388028
983,1536550
984,884300
985,1447228
986,1337263
987,1604831
988,1559706
989,1353570
990,1512024
991,1512173
992,1483394
993,1546989
994,1567745
995,351262
996,200217
997,1427379
998,1326638
999,1622346
1000,1055966
1001,1128239
1002,1630064
1003,1567992
1004,1637643
1005,1527198
1006,1512690
1007,1420816
1008,1389307
1009,1077148
1010,1082970
1011,1619724
1012,1388437
1013,1276918
1014,1541197
1015,1231756
1016,1475597
1017,1512575
1018,1425649
1019,1519676
1020,1335730
1021,1447578
1022,813470
1023,1512601
1024,1489226
1025,804328
1026,1409775
1027,1357993
1028,1664492
1029,1512415
1030,1374701
1031,1594912
1032,1451428
1033,1555900
1034,1637541
1035,1540951
1036,1037766
1037,1633969
1038,852743
1039,1044936
1040,1442276
1041,1510201
1042,1597843
1043,1085256
1044,1642216
1045,1633903
1046,1030818
1047,1082491
1048,1475940
1049,1599210
1050,1633313
1051,1167456
1052,1317802
1053,1563690
1054,900973
1055,1512652
1056,1418870
1057,1647781
1058,1534498
1059,1301396
1060,62039
1061,1419099
1062,1591271
1063,1642570
1064,1353318
1065,1599171
1066,1508097
1067,1511697
1068,916542
1069,1662918
1070,1521422
1071,1666504
1072,1019754
1073,1519418
1074,1213206
1075,1106191
1076,1591048
1077,1425851
1078,1533954
1079,874791
1080,1608057
1081,1218957
1082,1349834
1083,1652391
1084,1567641
1085,1439589
1086,1432539
1087,1016021
1088,1387615
1089,1360798
1090,1596055
1091,1652062
1092,1512998
1093,1476993
1094,1588115
1095,1598843
1096,1633648
1097,1315785
1098,1317947
1099,1141802
1100,947263
1101,1626691
1102,1141800
1103,1068855
1104,927971
1105,1633389
1106,923338
1107,1448793
1108,1158583
1109,1527641
1110,1346824
1111,1055544
1112,810265
1113,1566887
1114,1540944
1115,1593365
1116,1535859
1117,1322613
1118,1584691
1119,1488542
1120,1105871
1121,1375534
1122,1397290
1123,1279151
1124,1317346
1125,1603470
1126,1542287
1127,1058470
1128,1620275
1129,1506796
1130,1569857
1131,931588
1132,748054
1133,1281011
1134,1595124
1135,1088875
1136,1513030
1137,1602237
1138,1600004
1139,910886
1140,1608376
1141,1666736
1142,1405555
1143,704051
1144,869353
1145,1512596
1146,1473033
1147,1569258
1148,1640361
1149,1527166
1150,1542662
1151,59558
1152,1344703
1153,1363561
1154,1469751
1155,1140042
1156,1464811
1157,1321993
1158,1206792
1159,1353311
1160,1542165
1161,1228242
1162,1352065
1163,1633629
1164,1368905
1165,1456133
1166,1316550
1167,1356513
1168,943712
1169,1278678
1170,1599950
1171,1013234
1172,820289
1173,1608904
1174,1388805
1175,1511915
1176,1009209
1177,1585740
1178,883487
1179,1632802
1180,1665077
1181,1654111
1182,1587643
1183,1582813
1184,1175399
1185,1599170
1186,1320005
1187,1483824
1188,1616768
1189,1145839
1190,1624741
1191,1581298
1192,1061286
1193,1141911
1194,1040508
1195,1631408
1196,1639966
1197,1426763
1198,1352859
1199,1006438
1200,1653926
1201,1512814
1202,1079563
1203,1056868
1204,1422508
1205,1632899
1206,1599383
1207,1316393
1208,1389234
1209,914976
1210,740918
1211,1110443
1212,1269094
1213,1078779
1214,77132
1215,1513122
1216,1541536
1217,1115055
1218,1586678
1219,1379495
1220,1599576
1221,1569519
1222,861787
1223,1650717
1224,1276673
1225,1639753
1226,1624692
1227,1533327
1228,1368465
1229,1327055
1230,1546190
1231,934639
1232,1314440
1233,1167212
1234,1542284
1235,1173497
1236,850401
1237,939761
1238,1652027
1239,1569532
1240,1477836
1241,1129770
1242,769317
1243,1654710
1244,1080166
1245,1256071
1246,1307877
1247,1664147
1248,1460629
1249,1362987
1250,1556970
1251,1598490
1252,1641866
1253,1606477
1254,826154
1255,1259513
1256,1576160
1257,1550304
1258,1525234
1259,1015079
1260,1494234
1261,1629984
1262,1536558
1263,67088
1264,1633343
1265,1641865
1266,825293
1267,1442641
1268,1385702
1269,1661532
1270,1596510
1271,1372270
1272,1569119
1273,1666606
1274,1561089
1275,720672
1276,1034546
1277,1665883
1278,1365324
1279,1352900
1280,1509973
1281,1600307
1282,1483226
1283,1568679
1284,912938
1285,811360
1286,1251962
1287,1505896
1288,1412741
1289,1009950
1290,1428601
1291,1008871
1292,1207017
1293,21175
1294,938759
1295,1352278
1296,1610946
1297,765443
1298,1507640
1299,1512251
1300,887762
1301,1544825
1302,1336098
1303,1568541
1304,1385011
1305,1350605
1306,1617516
1307,1478861
1308,1651646
1309,1596957
1310,1313597
1311,1035350
1312,1026720
1313,1110806
1314,947822
1315,1512237
1316,1569766
1317,1604350
1318,1606430
1319,1550172
1320,928568
1321,1597858
1322,1541901
1323,1583751
1324,1535679
1325,1626140
1326,1555486
1327,1293585
1328,1409765
1329,1134007
1330,1500605
1331,1125816
1332,1484540
1333,1540726
1334,1569709
1335,852933
1336,1103653
1337,1041283
1338,1399386
1339,1191672
1340,1662906
1341,1441843
1342,1053914
1343,1614704
1344,1219573
1345,1575301
1346,1527824
1347,1163603
1348,1163744
1349,1389875
1350,1469026
1351,1463217
1352,1574886
1353,1056488
1354,937589
1355,1535477
1356,1362178
1357,861176
1358,1318757
1359,1219037
1360,1420473
1361,1096783
1362,1358706
1363,1542383
1364,898358
1365,1558313
1366,1590656
1367,1043853
1368,1605949
1369,1178653
1370,918006
1371,1034550
1372,1411268
1373,1512020
1374,1050743
1375,1658363
1376,1645889
1377,1519921
1378,1434819
1379,1602905
1380,1126735
1381,1592179
1382,1136704
1383,1582844
1384,1537703
1385,1569139
1386,812295
1387,1598186
1388,1179232
1389,860645
1390,1277557
1391,1401561
1392,1531064
1393,1062938
1394,1502149
1395,922940
1396,1512026
1397,1598550
1398,1459270
1399,1353219
1400,1603328
1401,1389059
1402,1080366
1403,1265376
1404,1569758
1405,313807
1406,1179475
1407,883948
1408,1567890
1409,764611
1410,1356783
1411,1018674
1412,1169581
1413,1574717
1414,1633207
1415,1623883
1416,1512581
1417,884541
1418,1632422
1419,1361978
1420,1586052
1421,36270
